Zip Code,Official USPS city name,Official USPS State Code,Lat,Lang
95437,Fort Bragg,CA,39.45586,-123.73049
99301,Pasco,WA,46.38449,-118.94392
95819,Sacramento,CA,38.56964,-121.43974
98682,Vancouver,WA,45.67317,-122.48174
98012,Bothell,WA,47.84156,-122.19911
97006,Beaverton,OR,45.51704,-122.85988
97007,Beaverton,OR,45.45435,-122.87964
98052,Redmond,WA,47.68125,-122.12025
97701,Bend,OR,44.01483,-121.33105
97229,Portland,OR,45.5506,-122.80998
98208,Everett,WA,47.90187,-122.1865
97045,Oregon City,OR,45.32843,-122.53074
97301,Salem,OR,44.94903,-123.00399
97124,Hillsboro,OR,45.56783,-122.94644
99208,Spokane,WA,47.77989,-117.46275
98115,Seattle,WA,47.685,-122.28216
98103,Seattle,WA,47.67332,-122.34254
97206,Portland,OR,45.48188,-122.5986
97402,Eugene,OR,44.05156,-123.22999
98391,Bonney Lake,WA,47.17717,-122.17228
99336,Kennewick,WA,46.21378,-119.17886
98225,Bellingham,WA,48.75302,-122.50144
98632,Longview,WA,46.21684,-123.06852
98270,Marysville,WA,48.0596,-122.14454
97223,Portland,OR,45.4403,-122.7795
98105,Seattle,WA,47.66068,-122.28403
98023,Federal Way,WA,47.3088,-122.36269
97702,Bend,OR,43.99863,-121.24356
98003,Federal Way,WA,47.30512,-122.31507
98387,Spanaway,WA,47.05699,-122.39543
97123,Hillsboro,OR,45.44163,-122.98413
98118,Seattle,WA,47.54245,-122.2688
98133,Seattle,WA,47.73988,-122.34425
98042,Kent,WA,47.36623,-122.11717
98661,Vancouver,WA,45.63918,-122.62575
97504,Medford,OR,42.32693,-122.79868
98092,Auburn,WA,47.28763,-122.12871
98902,Yakima,WA,46.59668,-120.53375
97501,Medford,OR,42.28178,-122.90541
97401,Eugene,OR,44.06825,-123.08181
97405,Eugene,OR,43.93975,-123.19156
97080,Gresham,OR,45.47847,-122.38954
98837,Moses Lake,WA,47.14978,-119.30455
98223,Arlington,WA,48.21048,-121.95172
97305,Salem,OR,45.01433,-122.92872
98226,Bellingham,WA,48.80061,-122.42744
98058,Renton,WA,47.44181,-122.12439
99205,Spokane,WA,47.69665,-117.44622
98034,Kirkland,WA,47.71577,-122.2158
97202,Portland,OR,45.48292,-122.64407
98801,Wenatchee,WA,47.42334,-120.33781
98125,Seattle,WA,47.71641,-122.29812
97330,Corvallis,OR,44.63646,-123.27657
98501,Olympia,WA,46.97906,-122.87092
97219,Portland,OR,45.45395,-122.6998
98204,Everett,WA,47.90132,-122.26088
98374,Puyallup,WA,47.12994,-122.26196
99362,Walla Walla,WA,46.08931,-118.30738
97303,Salem,OR,45.03045,-123.02438
98087,Lynnwood,WA,47.863,-122.26643
97236,Portland,OR,45.4847,-122.51053
98036,Lynnwood,WA,47.81111,-122.2816
97233,Portland,OR,45.514,-122.49948
98503,Lacey,WA,47.02578,-122.79819
98033,Kirkland,WA,47.67612,-122.19233
97478,Springfield,OR,44.09093,-122.85142
97230,Portland,OR,45.55813,-122.50746
98122,Seattle,WA,47.61151,-122.29184
98032,Kent,WA,47.39234,-122.25872
98059,Renton,WA,47.50223,-122.12101
97756,Redmond,OR,44.27851,-121.21385
99206,Spokane,WA,47.62899,-117.25487
97302,Salem,OR,44.90187,-123.06785
98030,Kent,WA,47.36821,-122.19736
98277,Oak Harbor,WA,48.31624,-122.63163
97030,Gresham,OR,45.50897,-122.43189
98026,Edmonds,WA,47.83559,-122.33164
97128,Mcminnville,OR,45.19704,-123.25457
98198,Seattle,WA,47.3946,-122.31122
98006,Bellevue,WA,47.55748,-122.15081
98031,Kent,WA,47.40491,-122.19562
97477,Springfield,OR,44.05875,-123.01122
98584,Shelton,WA,47.24236,-123.15513
98604,Battle Ground,WA,45.80019,-122.50522
98908,Yakima,WA,46.61658,-120.70952
97222,Portland,OR,45.44129,-122.61709
97322,Albany,OR,44.62606,-123.01891
98290,Snohomish,WA,47.95104,-121.98023
98404,Tacoma,WA,47.20975,-122.41008
98004,Bellevue,WA,47.61883,-122.20595
97527,Grants Pass,OR,42.38226,-123.40806
98203,Everett,WA,47.94354,-122.23329
97526,Grants Pass,OR,42.51404,-123.34022
98038,Maple Valley,WA,47.41741,-121.95374
98513,Olympia,WA,46.98328,-122.73472
97266,Portland,OR,45.48275,-122.55838
98056,Renton,WA,47.51287,-122.18959
98117,Seattle,WA,47.6882,-122.38148
97224,Portland,OR,45.40551,-122.7951
97211,Portland,OR,45.58133,-122.63421
99163,Pullman,WA,46.72893,-117.21485
98155,Seattle,WA,47.75601,-122.30034
98502,Olympia,WA,47.09052,-123.01239
98366,Port Orchard,WA,47.53716,-122.58649
97203,Portland,OR,45.60644,-122.75365
98926,Ellensburg,WA,47.01293,-120.46296
97217,Portland,OR,45.59995,-122.70386
97404,Eugene,OR,44.10486,-123.13298
98444,Tacoma,WA,47.15285,-122.44899
98011,Bothell,WA,47.75338,-122.20189
98001,Auburn,WA,47.30998,-122.2652
97267,Portland,OR,45.40772,-122.61488
98002,Auburn,WA,47.30836,-122.21638
98168,Seattle,WA,47.48887,-122.30122
98683,Vancouver,WA,45.60301,-122.51024
98258,Lake Stevens,WA,48.0424,-122.06897
98662,Vancouver,WA,45.68851,-122.57784
97213,Portland,OR,45.5378,-122.59963
98229,Bellingham,WA,48.6955,-122.41046
98144,Seattle,WA,47.58596,-122.29237
97306,Salem,OR,44.84465,-123.07971
99337,Kennewick,WA,46.07461,-119.08614
98901,Yakima,WA,46.69319,-120.41528
98607,Camas,WA,45.64338,-122.38206
99223,Spokane,WA,47.59132,-117.34474
98445,Tacoma,WA,47.13981,-122.40989
98375,Puyallup,WA,47.10367,-122.32346
99352,Richland,WA,46.25225,-119.28785
97304,Salem,OR,45.00899,-123.1081
98499,Lakewood,WA,47.16671,-122.507
98021,Bothell,WA,47.79257,-122.20819
98802,East Wenatchee,WA,47.49059,-120.16774
98370,Poulsbo,WA,47.75101,-122.6229
98312,Bremerton,WA,47.57326,-122.76008
98273,Mount Vernon,WA,48.40393,-122.36933
97471,Roseburg,OR,43.22016,-123.47589
98027,Issaquah,WA,47.50138,-121.99933
97086,Happy Valley,OR,45.44519,-122.52821
98296,Snohomish,WA,47.84067,-122.10169
98037,Lynnwood,WA,47.8392,-122.28549
94903,San Rafael,CA,38.02479,-122.55223
99207,Spokane,WA,47.68889,-117.38782
98109,Seattle,WA,47.63159,-122.34417
98512,Olympia,WA,46.95651,-123.04842
93654,Reedley,CA,36.65715,-119.40291
95117,San Jose,CA,37.31126,-121.96191
97355,Lebanon,OR,44.53097,-122.82268
95682,Shingle Springs,CA,38.61109,-120.96638
95824,Sacramento,CA,38.51759,-121.44075
91731,El Monte,CA,34.07878,-118.04062
94602,Oakland,CA,37.8041,-122.20704
92405,San Bernardino,CA,34.1446,-117.30127
92110,San Diego,CA,32.76519,-117.1999
95834,Sacramento,CA,38.64203,-121.52027
98272,Monroe,WA,47.84931,-121.88521
90302,Inglewood,CA,33.97472,-118.35551
92653,Laguna Hills,CA,33.59159,-117.69847
97008,Beaverton,OR,45.46022,-122.80417
95966,Oroville,CA,39.47123,-121.42821
98367,Port Orchard,WA,47.46508,-122.68313
91356,Tarzana,CA,34.15508,-118.54751
97071,Woodburn,OR,45.13592,-122.82654
94549,Lafayette,CA,37.89743,-122.1166
98201,Everett,WA,47.99339,-122.21327
98685,Vancouver,WA,45.71621,-122.68991
90028,Los Angeles,CA,34.09989,-118.32691
93704,Fresno,CA,36.79909,-119.8016
97132,Newberg,OR,45.32229,-122.9871
91746,La Puente,CA,34.04426,-117.98629
91324,Northridge,CA,34.23901,-118.54958
97220,Portland,OR,45.54971,-122.55917
91792,West Covina,CA,34.02584,-117.89993
94704,Berkeley,CA,37.86656,-122.25805
92081,Vista,CA,33.16431,-117.24028
97068,West Linn,OR,45.35303,-122.66929
92694,Ladera Ranch,CA,33.54724,-117.62373
91803,Alhambra,CA,34.07494,-118.14621
94585,Suisun City,CA,38.19379,-121.92595
94131,San Francisco,CA,37.74543,-122.44291
90039,Los Angeles,CA,34.1118,-118.26001
95603,Auburn,CA,38.917,-121.08045
95212,Stockton,CA,38.04827,-121.22818
98684,Vancouver,WA,45.63073,-122.51644
97603,Klamath Falls,OR,42.14085,-121.68079
93035,Oxnard,CA,34.18358,-119.22179
95134,San Jose,CA,37.42861,-121.94346
96150,South Lake Tahoe,CA,38.8709,-120.00886
98007,Bellevue,WA,47.61445,-122.14381
95492,Windsor,CA,38.53034,-122.81716
95219,Stockton,CA,38.04199,-121.48581
98029,Issaquah,WA,47.55847,-122.00546
91384,Castaic,CA,34.53072,-118.68639
98466,Tacoma,WA,47.22778,-122.53573
96080,Red Bluff,CA,40.16515,-122.38167
98271,Marysville,WA,48.09415,-122.2345
90041,Los Angeles,CA,34.13765,-118.20762
92604,Irvine,CA,33.68814,-117.78888
97502,Central Point,OR,42.41724,-122.95621
93314,Bakersfield,CA,35.38792,-119.23632
98382,Sequim,WA,48.02747,-123.07863
93401,San Luis Obispo,CA,35.24175,-120.61711
98338,Graham,WA,47.02047,-122.28328
98074,Sammamish,WA,47.62263,-122.04314
98498,Lakewood,WA,47.16231,-122.55452
94518,Concord,CA,37.95041,-122.02205
92316,Bloomington,CA,34.05911,-117.39065
97062,Tualatin,OR,45.36875,-122.76196
95204,Stockton,CA,37.97388,-121.31987
92262,Palm Springs,CA,33.86055,-116.56152
90038,Los Angeles,CA,34.08876,-118.32652
95133,San Jose,CA,37.37159,-121.86084
93105,Santa Barbara,CA,34.53229,-119.79968
95961,Olivehurst,CA,39.03344,-121.55758
94062,Redwood City,CA,37.42134,-122.30715
94510,Benicia,CA,38.09404,-122.13197
95829,Sacramento,CA,38.48924,-121.33249
90713,Lakewood,CA,33.84798,-118.11265
93901,Salinas,CA,36.63863,-121.62401
90405,Santa Monica,CA,34.01179,-118.46821
93280,Wasco,CA,35.64805,-119.44873
95370,Sonora,CA,37.98461,-120.34883
90710,Harbor City,CA,33.79809,-118.29907
91364,Woodland Hills,CA,34.15477,-118.59509
98311,Bremerton,WA,47.63019,-122.63698
97420,Coos Bay,OR,43.35487,-124.14625
95363,Patterson,CA,37.46353,-121.21678
90061,Los Angeles,CA,33.92045,-118.27403
94598,Walnut Creek,CA,37.9011,-122.00047
98146,Seattle,WA,47.50009,-122.35751
90017,Los Angeles,CA,34.05291,-118.2643
91103,Pasadena,CA,34.16898,-118.16597
94559,Napa,CA,38.23297,-122.30795
98107,Seattle,WA,47.66762,-122.3781
95618,Davis,CA,38.54067,-121.68305
94306,Palo Alto,CA,37.41571,-122.13078
98116,Seattle,WA,47.57397,-122.39507
98178,Seattle,WA,47.49929,-122.24706
90270,Maywood,CA,33.98797,-118.18592
97116,Forest Grove,OR,45.58259,-123.17353
90035,Los Angeles,CA,34.05182,-118.38351
91945,Lemon Grove,CA,32.73317,-117.03416
93725,Fresno,CA,36.62534,-119.73651
92227,Brawley,CA,32.99027,-115.34876
92614,Irvine,CA,33.68165,-117.83293
95409,Santa Rosa,CA,38.46101,-122.59753
94002,Belmont,CA,37.5135,-122.29905
92008,Carlsbad,CA,33.14594,-117.31785
98284,Sedro Woolley,WA,48.55307,-122.12046
90746,Carson,CA,33.85888,-118.25526
92868,Orange,CA,33.78813,-117.87629
97321,Albany,OR,44.65193,-123.13328
97035,Lake Oswego,OR,45.41321,-122.72514
91042,Tujunga,CA,34.31653,-118.24912
93960,Soledad,CA,36.39832,-121.34114
90291,Venice,CA,33.99437,-118.46344
92629,Dana Point,CA,33.47671,-117.70459
97214,Portland,OR,45.5143,-122.64309
92860,Norco,CA,33.92467,-117.55166
94607,Oakland,CA,37.8073,-122.30019
91755,Monterey Park,CA,34.048,-118.11499
94133,San Francisco,CA,37.80381,-122.41073
91741,Glendora,CA,34.15372,-117.84368
91504,Burbank,CA,34.20449,-118.327
91724,Covina,CA,34.08071,-117.85502
91302,Calabasas,CA,34.12426,-118.6701
97212,Portland,OR,45.54426,-122.64367
98665,Vancouver,WA,45.67974,-122.65942
91932,Imperial Beach,CA,32.57609,-117.1194
90249,Gardena,CA,33.9015,-118.31708
98372,Puyallup,WA,47.20602,-122.26691
90240,Downey,CA,33.9568,-118.11869
95242,Lodi,CA,38.13459,-121.39362
91010,Duarte,CA,34.14073,-117.9567
98373,Puyallup,WA,47.1476,-122.32519
91307,West Hills,CA,34.20164,-118.66216
91301,Agoura Hills,CA,34.12274,-118.7572
97005,Beaverton,OR,45.49095,-122.8035
98119,Seattle,WA,47.63995,-122.37005
97140,Sherwood,OR,45.35504,-122.86426
92284,Yucca Valley,CA,34.18604,-116.43234
92606,Irvine,CA,33.70043,-117.81724
97838,Hermiston,OR,45.85295,-119.28695
94530,El Cerrito,CA,37.92157,-122.29846
91411,Van Nuys,CA,34.17838,-118.4593
97225,Portland,OR,45.50218,-122.77008
91784,Upland,CA,34.141,-117.65814
95032,Los Gatos,CA,37.21505,-121.92794
98531,Centralia,WA,46.73496,-122.92102
98102,Seattle,WA,47.63642,-122.32218
95503,Eureka,CA,40.72426,-124.09613
90304,Inglewood,CA,33.93799,-118.35857
98106,Seattle,WA,47.54349,-122.35435
90064,Los Angeles,CA,34.03702,-118.42492
92532,Lake Elsinore,CA,33.69279,-117.30327
98409,Tacoma,WA,47.21115,-122.48203
94803,El Sobrante,CA,37.95953,-122.28365
94123,San Francisco,CA,37.80046,-122.43821
91740,Glendora,CA,34.11878,-117.8539
94947,Novato,CA,38.11324,-122.62972
92832,Fullerton,CA,33.86859,-117.92897
98516,Olympia,WA,47.09657,-122.7836
98008,Bellevue,WA,47.60527,-122.11098
94402,San Mateo,CA,37.54105,-122.33317
98040,Mercer Island,WA,47.56612,-122.23198
95815,Sacramento,CA,38.60548,-121.4473
92411,San Bernardino,CA,34.12207,-117.32032
91030,South Pasadena,CA,34.1102,-118.15735
98335,Gig Harbor,WA,47.29895,-122.61892
94547,Hercules,CA,38.00655,-122.26146
90602,Whittier,CA,33.972,-118.02227
91106,Pasadena,CA,34.13867,-118.1282
95677,Rocklin,CA,38.79134,-121.2344
98112,Seattle,WA,47.63392,-122.28893
93933,Marina,CA,36.68608,-121.787
97317,Salem,OR,44.90261,-122.90736
98248,Ferndale,WA,48.8659,-122.62
95945,Grass Valley,CA,39.19509,-120.97699
99216,Spokane,WA,47.67999,-117.20944
94506,Danville,CA,37.8081,-121.90636
95003,Aptos,CA,37.01015,-121.87763
97520,Ashland,OR,42.15773,-122.5513
98188,Seattle,WA,47.44822,-122.27317
91403,Sherman Oaks,CA,34.14659,-118.46286
91737,Rancho Cucamonga,CA,34.15259,-117.57772
97070,Wilsonville,OR,45.30759,-122.77154
95367,Riverbank,CA,37.72831,-120.94072
90274,Palos Verdes Peninsula,CA,33.77734,-118.36893
92211,Palm Desert,CA,33.76218,-116.33102
91775,San Gabriel,CA,34.1143,-118.08958
95354,Modesto,CA,37.6382,-120.96597
92119,San Diego,CA,32.8101,-117.03279
92651,Laguna Beach,CA,33.55926,-117.77647
98626,Kelso,WA,46.15464,-122.78638
95054,Santa Clara,CA,37.3934,-121.96471
98110,Bainbridge Island,WA,47.64469,-122.54353
90303,Inglewood,CA,33.93809,-118.33232
98055,Renton,WA,47.44695,-122.20142
95215,Stockton,CA,37.94392,-121.15292
90740,Seal Beach,CA,33.75962,-118.07346
98520,Aberdeen,WA,47.04349,-123.80637
93041,Port Hueneme,CA,34.13103,-119.14669
92011,Carlsbad,CA,33.10721,-117.29429
97013,Canby,OR,45.21812,-122.67168
94619,Oakland,CA,37.77751,-122.13151
98532,Chehalis,WA,46.63122,-123.04085
98362,Port Angeles,WA,47.98419,-123.3616
98075,Sammamish,WA,47.58654,-122.03847
98597,Yelm,WA,46.85138,-122.49229
92251,Imperial,CA,32.87227,-115.69
98072,Woodinville,WA,47.76117,-122.13215
95746,Granite Bay,CA,38.75126,-121.18106
95776,Woodland,CA,38.6825,-121.70563
90403,Santa Monica,CA,34.03106,-118.4901
99354,Richland,WA,46.32566,-119.3067
95531,Crescent City,CA,41.79625,-124.00515
94609,Oakland,CA,37.83434,-122.26433
94024,Los Altos,CA,37.35221,-122.09438
98126,Seattle,WA,47.54768,-122.37442
98108,Seattle,WA,47.54131,-122.31292
97015,Clackamas,OR,45.41478,-122.53835
98405,Tacoma,WA,47.2458,-122.47201
98944,Sunnyside,WA,46.49322,-119.64732
95969,Paradise,CA,39.71633,-121.64742
90292,Marina Del Rey,CA,33.97831,-118.44761
92835,Fullerton,CA,33.90187,-117.91735
98664,Vancouver,WA,45.61981,-122.57752
93212,Corcoran,CA,36.04207,-119.5277
98406,Tacoma,WA,47.26211,-122.50898
95864,Sacramento,CA,38.5853,-121.37627
92344,Hesperia,CA,34.39117,-117.40567
91202,Glendale,CA,34.16785,-118.26846
95501,Eureka,CA,40.79809,-124.15097
97333,Corvallis,OR,44.47368,-123.30732
93907,Salinas,CA,36.76958,-121.66778
91201,Glendale,CA,34.17031,-118.28913
92602,Irvine,CA,33.74582,-117.74867
96007,Anderson,CA,40.45867,-122.27916
94085,Sunnyvale,CA,37.38854,-122.01776
92844,Garden Grove,CA,33.76543,-117.96945
92277,Twentynine Palms,CA,34.21531,-115.6222
94597,Walnut Creek,CA,37.91827,-122.07155
92782,Tustin,CA,33.7397,-117.78471
98671,Washougal,WA,45.61329,-122.2422
90404,Santa Monica,CA,34.02662,-118.47364
94089,Sunnyvale,CA,37.41154,-122.01404
90732,San Pedro,CA,33.74507,-118.31012
95330,Lathrop,CA,37.81352,-121.31053
98028,Kenmore,WA,47.75423,-122.24753
97601,Klamath Falls,OR,42.44883,-122.07473
93610,Chowchilla,CA,37.09232,-120.28778
98199,Seattle,WA,47.65137,-122.40272
93203,Arvin,CA,35.1119,-118.83079
90015,Los Angeles,CA,34.03939,-118.26645
94030,Millbrae,CA,37.59972,-122.40305
92118,Coronado,CA,32.67487,-117.17866
97060,Troutdale,OR,45.53423,-122.37027
92225,Blythe,CA,33.74646,-114.66793
92108,San Diego,CA,32.77389,-117.14247
90720,Los Alamitos,CA,33.79557,-118.0636
98292,Stanwood,WA,48.2234,-122.3073
93263,Shafter,CA,35.4928,-119.28685
92354,Loma Linda,CA,34.04977,-117.25154
95135,San Jose,CA,37.28985,-121.69571
98053,Redmond,WA,47.66565,-122.01946
95620,Dixon,CA,38.40971,-121.75299
92663,Newport Beach,CA,33.62365,-117.93046
98383,Silverdale,WA,47.66207,-122.71793
92585,Menifee,CA,33.74669,-117.17214
94579,San Leandro,CA,37.68643,-122.15748
97338,Dallas,OR,44.92701,-123.3463
98371,Puyallup,WA,47.19956,-122.32219
93560,Rosamond,CA,34.86642,-118.34068
94596,Walnut Creek,CA,37.88907,-122.03753
98221,Anacortes,WA,48.50321,-122.65492
94703,Berkeley,CA,37.86389,-122.27564
99224,Spokane,WA,47.64881,-117.53682
90272,Pacific Palisades,CA,34.07991,-118.54219
95818,Sacramento,CA,38.55588,-121.49664
92501,Riverside,CA,33.99542,-117.37361
90603,Whittier,CA,33.94541,-117.99253
90717,Lomita,CA,33.79383,-118.3172
98422,Tacoma,WA,47.28962,-122.39171
90048,Los Angeles,CA,34.07297,-118.37265
98166,Seattle,WA,47.45281,-122.3501
98407,Tacoma,WA,47.28861,-122.51131
91101,Pasadena,CA,34.14657,-118.13942
98275,Mukilteo,WA,47.9133,-122.29926
93444,Nipomo,CA,35.03846,-120.50425
95841,Sacramento,CA,38.66035,-121.34742
94706,Albany,CA,37.8897,-122.29551
98022,Enumclaw,WA,47.15032,-121.65482
98043,Mountlake Terrace,WA,47.792,-122.30743
99203,Spokane,WA,47.6291,-117.40327
94127,San Francisco,CA,37.7357,-122.45943
98408,Tacoma,WA,47.19802,-122.44647
90068,Los Angeles,CA,34.12837,-118.32828
95405,Santa Rosa,CA,38.43713,-122.66594
95521,Arcata,CA,40.84857,-124.05913
95949,Grass Valley,CA,39.1026,-121.13515
99202,Spokane,WA,47.65743,-117.37908
98264,Lynden,WA,48.95016,-122.46036
99004,Cheney,WA,47.41112,-117.63773
93630,Kerman,CA,36.7212,-120.12961
98177,Seattle,WA,47.74226,-122.37079
95138,San Jose,CA,37.24663,-121.73388
95827,Sacramento,CA,38.55504,-121.32555
92865,Orange,CA,33.82887,-117.84905
97058,The Dalles,OR,45.53878,-121.15334
98310,Bremerton,WA,47.59269,-122.623
97801,Pendleton,OR,45.66821,-118.81573
93103,Santa Barbara,CA,34.438,-119.68057
94019,Half Moon Bay,CA,37.46472,-122.41624
91501,Burbank,CA,34.20052,-118.29583
98686,Vancouver,WA,45.72415,-122.62335
95965,Oroville,CA,39.5947,-121.59608
99403,Clarkston,WA,46.37243,-117.25273
92808,Anaheim,CA,33.85647,-117.74013
92377,Rialto,CA,34.15602,-117.40413
99212,Spokane,WA,47.66523,-117.30916
91011,La Canada Flintridge,CA,34.22161,-118.20516
94503,American Canyon,CA,38.18419,-122.26293
97754,Prineville,OR,44.15223,-120.57082
91361,Westlake Village,CA,34.13649,-118.889
90715,Lakewood,CA,33.84035,-118.07886
90069,West Hollywood,CA,34.09386,-118.38171
92106,San Diego,CA,32.71272,-117.23605
95391,Tracy,CA,37.76309,-121.60538
96130,Susanville,CA,40.54876,-120.68496
92264,Palm Springs,CA,33.73214,-116.50424
91040,Sunland,CA,34.26177,-118.33715
94519,Concord,CA,37.98847,-122.01294
92887,Yorba Linda,CA,33.88471,-117.73124
98642,Ridgefield,WA,45.80248,-122.70178
95110,San Jose,CA,37.34662,-121.90993
93023,Ojai,CA,34.52392,-119.2744
97470,Roseburg,OR,43.22975,-123.23434
95519,Mckinleyville,CA,40.95573,-124.04641
98433,Tacoma,WA,47.1113,-122.58723
90814,Long Beach,CA,33.77163,-118.14362
91602,North Hollywood,CA,34.15106,-118.36634
94563,Orinda,CA,37.87967,-122.18458
92603,Irvine,CA,33.62447,-117.78875
90254,Hermosa Beach,CA,33.86546,-118.39665
98121,Seattle,WA,47.61541,-122.34669
92586,Menifee,CA,33.70901,-117.19889
98020,Edmonds,WA,47.80022,-122.37266
94022,Los Altos,CA,37.35752,-122.14444
97914,Ontario,OR,44.11322,-117.08407
91381,Stevenson Ranch,CA,34.37747,-118.61311
92029,Escondido,CA,33.08511,-117.12994
90210,Beverly Hills,CA,34.10103,-118.41475
94564,Pinole,CA,37.99177,-122.27992
98005,Bellevue,WA,47.61478,-122.16862
91390,Santa Clarita,CA,34.52287,-118.39215
91345,Mission Hills,CA,34.26594,-118.45945
94945,Novato,CA,38.12808,-122.55832
97209,Portland,OR,45.53095,-122.68439
97215,Portland,OR,45.51468,-122.59959
97055,Sandy,OR,45.38866,-122.15507
97031,Hood River,OR,45.6247,-121.54547
91902,Bonita,CA,32.66704,-117.01825
93927,Greenfield,CA,36.23358,-121.37717
93268,Taft,CA,35.16239,-119.42517
91204,Glendale,CA,34.13629,-118.26093
92082,Valley Center,CA,33.25079,-117.00049
94949,Novato,CA,38.06529,-122.53839
97034,Lake Oswego,OR,45.40926,-122.68384
98332,Gig Harbor,WA,47.365,-122.59887
91506,Burbank,CA,34.17117,-118.32384
91723,Covina,CA,34.08476,-117.88643
96161,Truckee,CA,39.30962,-120.20989
95959,Nevada City,CA,39.33853,-120.92058
93210,Coalinga,CA,36.19943,-120.4231
92371,Phelan,CA,34.44269,-117.54186
93247,Lindsay,CA,36.20457,-119.06992
92270,Rancho Mirage,CA,33.76591,-116.42728
97239,Portland,OR,45.48842,-122.69061
91901,Alpine,CA,32.80639,-116.7123
94595,Walnut Creek,CA,37.87197,-122.06933
97201,Portland,OR,45.50777,-122.68975
93015,Fillmore,CA,34.40574,-118.89657
90265,Malibu,CA,34.07191,-118.84989
95366,Ripon,CA,37.76259,-121.12451
97424,Cottage Grove,OR,43.74448,-123.05447
90502,Torrance,CA,33.83499,-118.29292
98274,Mount Vernon,WA,48.35934,-122.14555
99344,Othello,WA,46.81646,-119.17787
97103,Astoria,OR,46.13219,-123.70323
98230,Blaine,WA,48.95408,-122.71066
95602,Auburn,CA,38.99059,-121.11038
99217,Spokane,WA,47.73991,-117.2568
98942,Selah,WA,46.80184,-120.67505
95448,Healdsburg,CA,38.62394,-122.88593
91914,Chula Vista,CA,32.66544,-116.9524
93111,Santa Barbara,CA,34.44987,-119.80353
97850,La Grande,OR,45.30159,-118.11669
94618,Oakland,CA,37.84402,-122.23887
92587,Menifee,CA,33.69509,-117.25294
92582,San Jacinto,CA,33.80584,-117.01947
95816,Sacramento,CA,38.57163,-121.46691
92617,Irvine,CA,33.6425,-117.84169
93930,King City,CA,36.21475,-121.03097
98506,Olympia,WA,47.10283,-122.87324
